date,equity,peak_equity,drawdown_pct
2014-09-17,100.0,100.0,0.0
2014-09-18,100.0,100.0,0.0
2014-09-19,100.0,100.0,0.0
2014-09-20,100.0,100.0,0.0
2014-09-21,100.0,100.0,0.0
2014-09-22,100.0,100.0,0.0
2014-09-23,100.0,100.0,0.0
2014-09-24,100.0,100.0,0.0
2014-09-25,100.0,100.0,0.0
2014-09-26,100.0,100.0,0.0
2014-09-27,100.0,100.0,0.0
2014-09-28,100.0,100.0,0.0
2014-09-29,100.0,100.0,0.0
2014-09-30,100.0,100.0,0.0
2014-10-01,100.0,100.0,0.0
2014-10-02,100.0,100.0,0.0
2014-10-03,100.0,100.0,0.0
2014-10-04,100.0,100.0,0.0
2014-10-05,100.0,100.0,0.0
2014-10-06,100.0,100.0,0.0
2014-10-07,100.0,100.0,0.0
2014-10-08,100.0,100.0,0.0
2014-10-09,100.0,100.0,0.0
2014-10-10,100.0,100.0,0.0
2014-10-11,100.0,100.0,0.0
2014-10-12,100.0,100.0,0.0
2014-10-13,100.0,100.0,0.0
2014-10-14,100.0,100.0,0.0
2014-10-15,100.0,100.0,0.0
2014-10-16,100.0,100.0,0.0
2014-10-17,100.0,100.0,0.0
2014-10-18,100.0,100.0,0.0
2014-10-19,100.0,100.0,0.0
2014-10-20,100.0,100.0,0.0
2014-10-21,100.0,100.0,0.0
2014-10-22,100.0,100.0,0.0
2014-10-23,100.0,100.0,0.0
2014-10-24,100.0,100.0,0.0
2014-10-25,100.0,100.0,0.0
2014-10-26,100.0,100.0,0.0
2014-10-27,100.0,100.0,0.0
2014-10-28,100.0,100.0,0.0
2014-10-29,100.0,100.0,0.0
2014-10-30,100.0,100.0,0.0
2014-10-31,100.0,100.0,0.0
2014-11-01,100.0,100.0,0.0
2014-11-02,100.0,100.0,0.0
2014-11-03,100.0,100.0,0.0
2014-11-04,100.0,100.0,0.0
2014-11-05,100.0,100.0,0.0
2014-11-06,100.0,100.0,0.0
2014-11-07,100.0,100.0,0.0
2014-11-08,100.0,100.0,0.0
2014-11-09,100.0,100.0,0.0
2014-11-10,100.0,100.0,0.0
2014-11-11,100.0,100.0,0.0
2014-11-12,100.0,100.0,0.0
2014-11-13,100.0,100.0,0.0
2014-11-14,100.0,100.0,0.0
2014-11-15,100.0,100.0,0.0
2014-11-16,100.0,100.0,0.0
2014-11-17,100.0,100.0,0.0
2014-11-18,100.0,100.0,0.0
2014-11-19,100.0,100.0,0.0
2014-11-20,100.0,100.0,0.0
2014-11-21,100.0,100.0,0.0
2014-11-22,100.0,100.0,0.0
2014-11-23,100.0,100.0,0.0
2014-11-24,100.0,100.0,0.0
2014-11-25,100.0,100.0,0.0
2014-11-26,100.0,100.0,0.0
2014-11-27,100.0,100.0,0.0
2014-11-28,100.0,100.0,0.0
2014-11-29,100.0,100.0,0.0
2014-11-30,100.0,100.0,0.0
2014-12-01,100.0,100.0,0.0
2014-12-02,100.0,100.0,0.0
2014-12-03,100.0,100.0,0.0
2014-12-04,100.0,100.0,0.0
2014-12-05,100.0,100.0,0.0
2014-12-06,100.0,100.0,0.0
2014-12-07,100.0,100.0,0.0
2014-12-08,100.0,100.0,0.0
2014-12-09,100.0,100.0,0.0
2014-12-10,100.0,100.0,0.0
2014-12-11,100.0,100.0,0.0
2014-12-12,100.0,100.0,0.0
2014-12-13,100.0,100.0,0.0
2014-12-14,100.0,100.0,0.0
2014-12-15,100.0,100.0,0.0
